,good_bad
427211,1
206088,1
136020,1
412305,0
36159,0
260400,1
29626,1
117003,1
378696,1
159555,1
258931,1
435023,1
434939,1
166714,1
397514,1
412695,1
326791,1
399112,1
386208,1
90207,1
177298,1
41491,1
84297,1
193825,1
391693,1
431675,1
66434,1
454638,0
89746,1
50163,1
367344,1
349219,1
346074,1
290389,1
214844,1
222888,0
122435,1
465903,1
390024,1
377139,0
330287,1
266989,1
26136,1
443517,1
8913,1
212888,1
87049,1
201226,1
47257,1
293038,1
329383,1
396890,0
403646,1
320105,1
174860,1
337053,1
321553,0
185835,1
96120,1
458548,1
118705,1
427860,1
118988,1
132975,0
340728,1
413518,1
368735,1
362460,1
73304,1
65840,0
422386,1
118205,1
421004,1
28028,1
161250,0
318533,1
368322,1
190783,1
10189,1
408822,1
167613,1
432020,1
434324,1
78200,1
433325,1
65233,1
133925,1
376214,1
207538,1
155006,1
462602,1
150359,1
456272,1
439290,1
414709,1
15109,0
418488,1
161567,0
417321,1
78927,1
459694,1
221266,1
28387,0
101145,1
177990,1
367458,1
279505,1
29562,1
3181,1
120413,1
160550,1
425816,1
357938,1
348772,1
246875,1
414986,1
362848,1
14884,0
321111,1
413641,1
358842,1
109995,1
323419,1
40060,1
353619,1
284802,1
240752,1
360787,1
10403,1
204188,1
279727,1
107605,1
431736,1
428964,1
6469,0
353576,1
52977,1
127288,1
320450,1
395094,1
146885,1
366305,1
209894,1
6581,1
314872,1
225549,1
343958,1
44025,1
295378,1
27293,1
80477,1
17514,1
155034,1
263308,1
19427,1
309701,1
279399,1
421563,1
268181,1
381657,1
155621,1
140904,1
36741,0
424486,1
21403,1
100124,1
170887,1
30564,1
119781,1
387443,1
304377,1
1525,0
390154,1
35884,1
272808,1
371857,1
56498,1
283846,1
49700,1
351495,0
15641,0
406734,1
359279,1
155841,1
241189,1
72218,1
88676,1
66644,1
99305,1
49566,1
260877,1
138270,1
306453,1
343558,1
191716,1
436306,1
284030,1
372109,1
402666,1
405018,1
287645,1
389792,0
450710,0
381551,1
215434,1
144494,1
247037,1
108227,1
324988,0
444607,1
366372,1
110441,1
23087,1
239718,0
82997,1
285200,1
397395,1
237248,1
389114,1
73279,0
327770,1
19968,1
314578,1
97274,0
290645,1
69919,1
232297,1
399850,1
14686,0
312286,1
327500,1
261507,1
46697,1
141461,1
223315,0
197394,1
190605,1
214247,1
398988,1
399129,0
374045,1
402288,1
266685,1
415371,1
422732,1
86024,1
257797,1
56390,1
5954,1
253231,1
284276,1
367877,1
205296,1
178425,1
235333,1
423433,1
96405,1
401775,1
449870,0
186034,1
425441,1
384349,1
51287,0
49290,1
182937,0
124163,1
385713,1
169238,1
298563,1
229383,1
197969,0
441345,0
30805,1
297143,1
398770,1
207223,1
377187,1
223151,0
320020,1
302065,1
378996,1
5124,1
140900,1
180571,1
400716,1
96601,0
12019,1
30758,1
354407,1
20669,1
147406,1
342595,1
308075,1
239815,1
213028,1
216733,1
271404,1
157519,1
441524,0
139351,1
400652,1
407802,1
23113,1
326051,1
311792,0
397615,1
293668,1
225060,1
432072,1
409447,0
359153,1
399434,1
24612,1
28503,1
466151,1
70032,1
363693,1
313297,1
283117,1
390968,1
330079,1
330831,1
364369,0
274088,1
346056,1
434096,1
343680,1
94374,1
121708,1
224763,1
117773,1
380193,1
415728,1
55932,1
41688,0
343835,1
